materials
"가래떡 7개, 식용유 1약간, 케찹 3큰술, 진간장 1/2큰술, 고추장 1큰술, 올리고당 2큰술, 설탕 2/3큰술, 다진마늘 1/2큰술, 깨 1적당량"
"식빵 4장, 계란 2개, 슬라이스치즈 2장, 소금 1약간, 꿀 1적당량"
"고구마 2개, 계란 2개, 올리브유 1약간"
"사과 1/4개, 사과잼 3T, 또띠아 1개, 미트소스 3T, 계란 1개, 견과류가루 2T, 모짜렐라 피자치즈 5T, 식용유 1t"
"버터 20g, 다진마늘 1T, 설탕 1t, 파슬리가루 1적당량, 토마토소스 1적당량, 스파게티면 1인분, 식빵 2장, 슬라이스 모짜렐라 2장"
"크림치즈 2큰술, 식빵 4장, 치커리 , 딸기 1적당량, 슬라이스치즈 4장, 딸기잼 1약간"
"양배추 1/4개, 감자 1개, 당근 1약간, 계란 4알, 식빵 8장, 오이 1개, 허니머스터드 1적당량, 마요네즈 1적당량, 소금 , 후추 1약간, 케찹 "
"식빵 4장, 감자 2개, 계란 1개, 양파 1/4개, 양배추 3장, 슬라이스치즈 2장, 감자전분 1큰술, 우유 2큰술, 소금 1약간, 후추 1약간"
"연어 통조림 3캔, 양파 1/2개, 사과 1/2개, 계란 5개, 모닝빵 10개, 양상추 3장, 마요네즈 , 씨겨자 , 후추 , 소금 , 올리고당 3T"
"또띠아 1장, 체더치즈 1장, 슬라이스햄 2장, 상추 1장, 계란 1개, 토마토 1개"
"닭가슴살 300g, 식빵 6장, 계란 2개, 토마토 2개, 상추 6장, 베이컨 3줄, 후추 , 허브솔트 , 물, 마요네즈 5스푼, 돈까스소스 3스푼, 머스터드 "
"계란 3개, 맛술 1큰술, 닭가슴살 1/2개, 슬라이스치즈 2장, 상추 2장, 깻잎 4장, 양파 1/4개, 양상추 1약간, 스리라차소스 1적당량, 소금 1약간, 후추 1약간, 식용유 1큰술"
"식빵 4조각, 슬라이스치즈 2장, 토마토 2개, 계란 2개, 슬라이스햄 6장, 버터 2큰술, 양상추 1적당량, 스윗씨겨자소스 "
"식빵 4개, 딸기 21개, 생크림, 딸기청 , 슈가파우더 "
"계란 8개, 소금 , 후추 , 마요네즈 , 식빵 , 버터 "
"계란 1개, 두부 40g, 다진 호박 1큰술, 다진 당근 1큰술, 다시마물 2큰술, 소금 1약간"
"식빵 3장, 체더치즈 4장, 슬라이스햄 4장, 계란 2개, 우유 6숟가락, 설탕 1/2큰술, 딸기잼 , 허니머스터드 , 식용유 "
"그릭요거트 360g, 꿀 2큰술, 식빵 4장, 딸기 12개"
"아보카도퓨레 200g, 양파 1/4개, 방울토마토 5개, 할라피뇨 4개, 견과류 1봉, 소금 , 후추 1약간, 새우 , 청주 1큰술, 레몬즙 1큰술, 소금, 크러쉬드페퍼 1약간, 올리브유 1큰술, 계란 2개, 파슬리 1약간"
"닭가슴살 , 마요네즈 , 요거트 , 머스터드 , 샐러리 , 양파 , 피칸 , 건크랜베리 , 사과 , 파프리카 , 설탕 , 소금 , 후추 , 레몬즙 , 식빵 "
"통밀빵 2조각, 아보카도 1/2개, 레몬즙 1큰술, 페페론치노 1약간, 새우 6마리, 허브솔트 1약간"
"밥 2공기, 장조림 80g, 무장아찌 1/2컵, 계란 3개, 포도씨유 1약간, 버터 2큰술, 후리가케 2큰술, 장조림국물 2큰술, 소금 1약간"
"식빵 4장, 슬라이스치즈 2장, 슬라이스햄 2장, 마요네즈 1큰술, 버터 1큰술"
"또띠아 2장, 단호박 120g, 슬라이스햄 2장, 토마토 1개, 모짜렐라 피자치즈 50g, 크림치즈 1큰술, 올리고당 2작은술"
"새싹채소 , 통오징어 1마리, 오리엔탈 샐러드 드레싱 2스푼"
"닭가슴살 , 오이 , 양파 , 고춧가루 2큰술, 간장 1큰술, 식초 1큰술, 겨자 2큰술, 다진마늘 1작은술, 올리고당 1큰술, 매실청 1작은술, 깨 1약간"
"양상추 6장, 상추 8장, 게맛살 200g, 파프리카 2개, 허니머스터드 3TS, 마요네즈 2TS, 후추 1약간"
"쌀가루 105g, 아몬드가루 25g, 베이킹파우더 1g, 버터 60g, 황설탕 70g, 계란 25g, 견과류 80g"
"콩나물 300g, 다진파 2T, 다진마늘 2/3T, 국간장 2/3T, 소금 1/2T, 고춧가루 1T, 참기름 1T, 깨 1T"
"통삼겹살 1kg, 소금, 후추 , 로즈마리 , 올리브유 , 양파 , 감자 , 파프리카 , 애호박 "
"콘옥수수 150g, 모짜렐라 피자치즈 1/2컵, 마요네즈 1큰술, 허니머스터드 1큰술, 후추 1약간, 파슬리가루 1약간"
"소고기 척아이롤 3덩어리, 버터 2T, 야채 1적당량, 고구마 3개, 모짜렐라 피자치즈 1줌"
"고구마 4개, 파마산치즈가루 1숟가락, 파프리카파우더 1/3숟가락, 파슬리가루 1약간, 올리브유 4숟가락"
"밥 3주걱, 물 1약간"
"가래떡 7개, 식용유 1약간, 케찹 3큰술, 진간장 1/2큰술, 고추장 1큰술, 올리고당 2큰술, 설탕 2/3큰술, 다진마늘 1/2큰술, 깨 1적당량"
"식빵 4장, 슬라이스치즈 4장, 모짜렐라 피자치즈 150g, 파슬리가루 1약간, 버터 20g, 밀가루 20g, 우유 180ml, 넛맥 1약간, 소금 1약간, 후추 1약간"
"타피오카전분 180g, 우유 150ml, 올리브유 50g, 모짜렐라 피자치즈 60g, 체더치즈 2장, 계란 1개, 그라나파다노치즈 1약간, 소금 1/3스푼"
"쌀가루 80g, 아몬드가루 50g, 슈가파우더 40g, 카놀라유 40g, 두유 20g, 물 20g, 얼그레이 티백 1개, 소금 1약간, 설탕 1약간"
"꽁치통조림 2캔, 밀가루 1/2컵, 카레가루 2스푼, 식용유 3스푼"
"숙주나물 100g, 당근 28g, 참기름 1T, 소금 1약간, 국간장 1/2t"
"계란 11개, 간장 4스푼, 물 4스푼, 맛술 2큰술, 매실즙 2큰술, 올리고당 2큰술, 다진마늘 1큰술, 다진양파 2큰술, 청양고추 2큰술, 홍고추 2큰술"
"멸치 300g, 고추 5개, 소주 3T, 간장 2T"
"돼지고기 100g, 김치 80g, 마늘 2개, 버섯 30g, 양파 1/6개, 엔초비 2개, 파스타 80g, 새싹채소 30g, 파마산치즈가루 1약간, 올리브유 2t, 후추 1약간, 허브믹스 1약간, 버터 1g"
"닭가슴살 1팩, 토마토 1/2개, 올리브유 , 계란 2개, 파프리카 1/4개, 새송이버섯 1/2개, 토마토소스 2스푼"
"새우 1줌, 계란 1개, 대파 1적당량, 우유 1큰술, 굴소스 , 소금 "
"토마토 1개, 계란 2개, 라이스페이퍼 2장, 모짜렐라 피자치즈 1주먹, 소금 2꼬집, 후추 , 꿀 , 파슬리 "
"다진마늘 듬뿍 3T, 밥 1공기, 식용유 2T, 버터 10g, 소금 1꼬집, 진간장 1T, 깨 "
"스파게티면 , 올리브유 , 마늘 5톨, 베이컨 1약간, 깻잎 2장"
"식빵 2장, 새우 4개, 피망 2T, 대파 2T, 소금 톡톡, 후추 톡톡, 깨 1적당량, 참기름 1약간"
"계란 2개, 명란젓 1T, 양배추 4T, 피망 3T, 대파 2T, 다진마늘 2T, 밥 1공기, 마요네즈 1T, 후리가케 3T, 깨 1T"
"메밀면 2인분, 쪽파 1개, 쯔유 1컵, 무 1약간"
"계란 4개, 식빵 4장, 모짜렐라 피자치즈 4줌, 버터 , 설탕 1/2T, 깔라만시원액 1/2T"
"쌀 2컵, 참치 1캔, 마요네즈 2숟가락, 파프리카 1개, 김 1적당량"
"밥 1국그릇, 김자반 1종이컵, 상추 20장, 참기름 3숟가락, 소금 1숟가락, 깨 1숟가락"
"메밀국수 200g, 김 1장, 깨소금 1약간, 대파 2T, 진간장 2T, 매실액 1T, 설탕 1T, 들기름 6T"
"밥 1공기, 아보카도 1/2개, 참치 75g, 상추 3장, 계란 1개, 마요네즈 1큰술, 후추 1약간, 간장 1큰술, 설탕 1/2큰술, 참기름 1큰술, 깨소금 1약간"
"양배추 156g, 두부 1모, 양파 1/2개, 파슬리 1약간, 밥 2공기, 물 200ml, 간장 100ml, 마늘 1/2큰술, 생강 10g, 황설탕 3큰술, 올리고당 1큰술, 맛술 50ml, 참기름 1큰술, 깨소금 1큰술"
"계란 2개, 명란젓 1T, 양배추 4T, 피망 3T, 대파 2T, 다진마늘 2T, 밥 1공기, 마요네즈 1T, 후리가케 3T, 깨 1T"
"비엔나소시지 4개, 마늘쫑 3줄, 밥 1공기, 계란 1개, 들기름 1작은술, 식용유 1약간, 소금 1약간"
"밥 2공기, 장조림 80g, 무장아찌 1/2컵, 계란 3개, 포도씨유 1약간, 버터 2큰술, 후리가케 2큰술, 장조림국물 2큰술, 소금 1약간"
"돈까스소스 5스푼, 케찹 2스푼, 굴소스 1스푼, 올리고당 1스푼, 후추 1약간, 채끝살 300g, 양송이버섯 5개, 파프리카 1개, 양파 1개, 대파 2개, 토마토 2개, 버터 50g"
"삼겹살 100g, 상추 15장, 건로즈마리 1약간, 물 1스푼, 양조간장 1큰술, 설탕 1/2스푼, 맛술 1스푼"
"계란 5개, 치커리 10g, 당근 20g, 김 1장, 액젓 1작은술, 마요네즈 1작은술, 감자전분 1/2작은술, 모짜렐라 피자치즈 1줌, 식용유 1큰술"
"돈까스고기 1장, 식빵 2장, 치커리 2줄, 슬라이스치즈 1개, 마요네즈 2스푼, 돈까스소스 2스푼"
"만두소 1T, 다진마늘 1약간, 계란 1개, 떡국떡 1줌, 양배추 2개, 대파 1/3대, 양파 1약간, 참기름 1T, 소금 1약간"
"명란 , 된장 , 고추장 , 참기름 , 깨소금 , 양파 , 설탕 , 맛술 , 대파 , 마늘 , 풋고추 , 고춧가루 "
"만두피 , 참치 , 계란 , 감자 , 파프리카 1적당량, 마요네즈 , 머스터드 , 후추 , 설탕 1약간"
"밥 , 당근 , 감자 , 양파 , 슬라이스햄 , 카레가루 , 식용유 , 후추 , 소금 , 케첩 "
"열무김치 , 소면 , 매실액 1큰술, 설탕 1t, 식초 1t, 얼음 "
"계란 3개, 소금 1약간, 모짜렐라 피자치즈 1장"
"중면 , 부추 , 참외 1/2개, 냉면양념장 1T, 참기름 , 오이 1/2개, 당근 1약간"
"김치 1/4쪽, 순두부 1봉, 삼겹살 1줄, 식용유 1/2큰술, 다시마물 2큰술, 토마토 1개, 고추장 2/3큰술, 버섯 1약간, 다진파 2큰술"
"콩나물 120 g, 다시마물 1컵, 물 3컵, 대파 1약간, 풋고추 1약간, 홍고추 1약간, 청양고추 1약간"
"스파게티면 1인분, 양파 1/2개, 마늘 5개, 베이컨 3장, 청양고추 2개, 진간장 2스푼, 참기름 1스푼, 설탕 1스푼"
"계란 4개, 콩나물 1줌, 떡 27개, 만두 5개, 어묵 2장, 멸치가루 3T, 다시마 1장, 풋고추 2개, 물 600ml, 설탕 1T, 고추장 2T, 다진마늘 1T, 멸치액젓 2T"
"식빵 4장, 계란 2개, 슬라이스치즈 2장, 소금 1약간, 꿀 1적당량"
"양상추 , 브로콜리 , 연어 , 사과 , 견과류 , 올리브 , 플레인요거트 , 마요네즈 , 꿀 "
"아스파라거스 1줌, 양파 1/2개, 마늘 1적당량, 소세지 1팩, 올리고당 2T, 굴소스 1T, 케찹 2T"
"계란 4개, 들기름 30ml, 밥 1개, 후랑크소시지 50g, 간장 5g, 대파 40g, 조미료 20g, 깨 1약간, 소금 1약간, 식용유 1약간"
"돼지고기 200g, 두부 1모, 대파 1적당량, 고추장 5스푼, 다진마늘 1스푼"
"닭 300g, 데리야키소스 3큰술, 양파 1/4개, 당근 1약간, 마늘 3개, 깨 1약간"
"식빵 3장, 슬라이스햄 4장, 슬라이스치즈 2장, 계란 1개, 설탕 1큰술, 소금 , 땅콩버터 , 딸기잼 , 시리얼 "
"밥 2공기, 매실액 1T, 김밥김 5장, 당근 2개, 소금 , 식용유 , 계란 3개, 맛술 , 닭가슴살 1개, 단무지 1적당량, 마요네즈 , 명란 , 참기름 1/2t"
"고형카레 100g, 물 700ml, 감자 2개, 당근 1개, 양파 1개, 돼지고기 안심 250g, 다진마늘 1큰술, 청양고추 1/2큰술"
"등심 500g, 미나리 1/2줌, 새송이버섯 100g, 마늘 10개, 청양고추 2개, 양조간장 2큰술, 올리고당 1큰술"
"김치 1컵, 밀가루 2/3컵, 우유 1/2컵, 모짜렐라 피자치즈 150g, 방울토마토 5개, 올리브 5개, 페퍼로니 10개, 새싹채소 1약간, 식용유 1큰술"
